TP9,AF7,AF8,TP10,board_ts,unix_ts
-16.11328125,113.76953125,-603.02734375,-3.41796875,1758405222.8141212,1758405222.8394384
-16.6015625,590.8203125,-461.9140625,-12.20703125,1758405222.8178394,1758405222.8433447
-17.08984375,205.56640625,-754.8828125,-19.53125,1758405222.8215575,1758405222.847251
-24.4140625,170.8984375,-782.71484375,-27.34375,1758405222.825338,1758405222.8511572
-22.4609375,447.265625,-607.421875,-25.87890625,1758405222.8291183,1758405222.8550634
-24.90234375,404.78515625,-646.484375,-17.08984375,1758405222.8328986,1758405222.8589697
-33.203125,118.1640625,-790.52734375,-21.484375,1758405222.836679,1758405222.862876
-36.1328125,78.125,-780.76171875,-26.85546875,1758405222.8404593,1758405222.8667822
-26.85546875,17.08984375,-755.37109375,-15.13671875,1758405222.8442397,1758405222.8706884
-22.94921875,-43.45703125,-741.69921875,-13.18359375,1758405222.8480203,1758405222.8745947
-25.390625,-563.96484375,-887.20703125,-11.71875,1758405222.8518007,1758405222.878501
-25.390625,-727.5390625,-818.359375,-8.7890625,1758405222.855581,1758405222.8824072
-26.3671875,270.99609375,-192.3828125,-28.80859375,1758405222.8593614,1758405222.8863134
-19.04296875,421.38671875,-129.8828125,-28.3203125,1758405222.8631418,1758405222.8902197
-16.11328125,120.1171875,-368.65234375,-14.6484375,1758405222.8669221,1758405222.894126
-19.04296875,305.6640625,-249.51171875,-20.01953125,1758405222.870674,1758405222.8980322
-17.08984375,498.53515625,-108.88671875,-18.5546875,1758405222.8744256,1758405222.9019384
-12.6953125,244.140625,-242.1875,-12.20703125,1758405222.8781774,1758405222.9058447
-5.37109375,65.91796875,-285.15625,-17.08984375,1758405222.8819292,1758405222.909751
0.48828125,284.66796875,-85.44921875,-16.6015625,1758405222.885681,1758405222.9136572
-6.34765625,135.7421875,-142.08984375,-19.53125,1758405222.889433,1758405222.9175634
-5.859375,-248.046875,-357.421875,-15.625,1758405222.8931847,1758405222.9214697
1.953125,-706.0546875,-619.140625,-10.7421875,1758405222.8969364,1758405222.925376
-6.34765625,-266.6015625,-145.99609375,-17.578125,1758405222.9006882,1758405222.9292822
-12.20703125,474.12109375,428.22265625,-21.97265625,1758405222.90444,1758405222.9331884
-1.953125,3.90625,31.73828125,-12.6953125,1758405222.9081917,1758405222.9370947
24.4140625,-230.46875,-61.5234375,13.18359375,1758405222.9119434,1758405222.941001
2.9296875,413.0859375,500.9765625,-16.6015625,1758405222.9156907,1758405222.9449072
-45.41015625,441.40625,490.234375,-62.01171875,1758405222.919438,1758405222.9488134
-36.1328125,117.67578125,250.48828125,-47.8515625,1758405222.923185,1758405222.9527197
-25.87890625,195.80078125,383.30078125,-45.8984375,1758405222.9269323,1758405222.956626
-36.1328125,397.4609375,546.38671875,-57.12890625,1758405222.9306796,1758405222.9605322
-39.55078125,147.4609375,426.26953125,-52.734375,1758405222.9344268,1758405222.9644384
-41.9921875,-566.40625,-9.27734375,-44.43359375,1758405222.9381742,1758405222.9683447
-38.57421875,-500.48828125,165.52734375,-43.9453125,1758405222.9419215,1758405222.972251
-36.62109375,409.66796875,958.49609375,-59.5703125,1758405222.9456687,1758405222.9761572
-38.57421875,372.0703125,905.76171875,-53.7109375,1758405222.949416,1758405222.9800634
-36.62109375,-82.03125,590.8203125,-41.50390625,1758405222.9531631,1758405222.9839697
-35.64453125,72.265625,761.23046875,-35.15625,1758405222.9569104,1758405222.987876
-31.73828125,491.2109375,999.51171875,-28.3203125,1758405222.9618568,1758405222.9917822
-21.97265625,270.01953125,875.0,-26.3671875,1758405222.9668036,1758405222.9956884
-24.4140625,-205.078125,615.234375,-22.94921875,1758405222.97175,1758405222.9995947
-20.5078125,126.953125,845.703125,-19.53125,1758405222.9766965,1758405223.003501
-19.04296875,454.1015625,999.51171875,-21.97265625,1758405222.981643,1758405223.0074072
-26.85546875,-76.171875,751.953125,-22.4609375,1758405222.9865894,1758405223.0113134
-18.5546875,-619.62890625,462.890625,-10.7421875,1758405222.9915361,1758405223.0152197
-13.18359375,-43.45703125,864.2578125,-17.578125,1758405222.9964826,1758405223.019126
-18.06640625,528.3203125,999.51171875,-21.484375,1758405223.001429,1758405223.0230322
-15.625,219.23828125,892.578125,-15.625,1758405223.0063758,1758405223.0269384
-15.13671875,141.11328125,920.8984375,-18.06640625,1758405223.0113223,1758405223.0308447
-11.23046875,470.703125,975.09765625,-10.25390625,1758405223.0162687,1758405223.034751
-0.9765625,398.4375,999.51171875,-13.18359375,1758405223.0199568,1758405223.0386572
5.859375,-233.3984375,740.234375,-3.41796875,1758405223.023645,1758405223.0425634
-4.8828125,-193.84765625,731.4453125,-0.48828125,1758405223.027333,1758405223.0464697
-10.25390625,395.01953125,999.51171875,-5.859375,1758405223.031021,1758405223.050376
2.44140625,395.5078125,993.1640625,0.0,1758405223.0347092,1758405223.0542822
6.34765625,-18.06640625,820.3125,8.7890625,1758405223.0383973,1758405223.0581884
-5.37109375,-193.84765625,776.85546875,10.25390625,1758405223.0420854,1758405223.0620947
-1.953125,270.01953125,982.421875,2.44140625,1758405223.0457735,1758405223.066001
-0.9765625,406.25,999.51171875,-10.7421875,1758405223.0494616,1758405223.0699072
-10.25390625,-257.8125,661.1328125,-18.06640625,1758405223.0531497,1758405223.0738134
-16.6015625,-272.94921875,715.8203125,-17.08984375,1758405223.0568378,1758405223.0777197
-19.04296875,299.8046875,999.51171875,-15.13671875,1758405223.060526,1758405223.081626
-10.7421875,236.81640625,933.59375,-10.25390625,1758405223.0655067,1758405223.0855322
-11.23046875,69.82421875,894.53125,-9.27734375,1758405223.0704873,1758405223.0894384
-16.6015625,282.71484375,958.0078125,-3.41796875,1758405223.075468,1758405223.0933447
-15.13671875,200.1953125,936.5234375,-0.48828125,1758405223.0804486,1758405223.097251
-12.20703125,-116.69921875,773.92578125,-1.46484375,1758405223.0854294,1758405223.1011572
-8.30078125,-653.80859375,425.29296875,-3.41796875,1758405223.0904102,1758405223.1050634
-15.625,-327.1484375,688.4765625,-8.7890625,1758405223.0953908,1758405223.1089697
-13.18359375,490.72265625,999.51171875,-11.23046875,1758405223.1003716,1758405223.112876
-4.39453125,59.5703125,783.69140625,-8.30078125,1758405223.1053522,1758405223.1167822
7.8125,-300.78125,666.50390625,0.9765625,1758405223.110333,1758405223.1206884
10.25390625,304.6875,973.14453125,-2.9296875,1758405223.1153135,1758405223.1245947
-0.9765625,501.953125,999.51171875,-5.37109375,1758405223.1202943,1758405223.128501
-0.9765625,-20.01953125,734.375,-5.859375,1758405223.1228986,1758405223.1324072
3.41796875,-102.5390625,715.33203125,-11.23046875,1758405223.125503,1758405223.1363134
3.90625,378.90625,999.51171875,-1.46484375,1758405223.1281075,1758405223.1402197
