,TP9,AF7,AF8,TP10
148,-52.24609375,163.0859375,73.73046875,-55.17578125
149,-46.875,67.87109375,-84.47265625,-50.29296875
150,-55.17578125,138.18359375,-41.9921875,-56.15234375
151,-54.6875,231.93359375,144.53125,-62.5
152,-54.19921875,176.7578125,104.4921875,-61.5234375
153,-63.4765625,129.39453125,-10.25390625,-62.98828125
154,-61.03515625,138.18359375,-27.34375,-60.546875
155,-51.26953125,202.63671875,107.91015625,-54.6875
156,-54.19921875,160.64453125,58.10546875,-52.24609375
157,-57.12890625,171.38671875,16.11328125,-54.6875
158,-51.7578125,208.0078125,75.1953125,-55.17578125
159,-56.640625,168.45703125,70.80078125,-56.15234375
160,-63.96484375,126.46484375,12.6953125,-63.4765625
161,-67.87109375,131.8359375,-29.78515625,-63.96484375
162,-65.91796875,187.98828125,57.6171875,-63.96484375
163,-66.40625,187.01171875,115.72265625,-67.3828125
164,-66.40625,125.9765625,28.80859375,-64.453125
165,-68.84765625,131.8359375,-32.2265625,-54.19921875
166,-74.21875,203.61328125,69.3359375,-56.640625
167,-71.2890625,189.94140625,126.953125,-66.89453125
168,-72.75390625,105.46875,29.296875,-72.75390625
169,-72.75390625,98.6328125,-4.39453125,-77.63671875
170,-77.63671875,175.78125,98.6328125,-81.0546875
171,-83.49609375,147.4609375,83.49609375,-82.51953125
172,-82.03125,76.66015625,-36.62109375,-82.03125
173,-80.078125,73.2421875,-66.89453125,-71.77734375
174,-79.1015625,132.8125,46.38671875,-77.63671875
175,-71.77734375,139.6484375,84.9609375,-87.890625
176,-68.359375,14.6484375,-104.98046875,-88.8671875
177,-68.359375,55.6640625,-85.44921875,-79.58984375
178,-75.1953125,175.29296875,132.32421875,-72.265625
179,-80.078125,62.98828125,11.71875,-74.70703125
180,-79.58984375,46.38671875,-98.6328125,-80.078125
181,-80.56640625,111.328125,-12.20703125,-76.171875
182,-70.3125,88.8671875,22.4609375,-71.77734375
183,-65.91796875,40.0390625,-62.5,-75.1953125
184,-72.75390625,37.59765625,-91.30859375,-71.2890625
185,-71.77734375,56.640625,-83.49609375,-65.91796875
186,-64.453125,86.9140625,-1.46484375,-70.3125
187,-71.2890625,38.0859375,-23.4375,-76.66015625
188,-73.2421875,-20.01953125,-181.15234375,-76.171875
189,-70.80078125,86.9140625,-49.8046875,-69.3359375
190,-71.77734375,59.5703125,25.390625,-63.96484375
191,-68.84765625,-26.3671875,-110.3515625,-60.05859375
192,-61.03515625,-10.7421875,-112.3046875,-64.453125
193,-60.546875,20.5078125,-40.52734375,-63.4765625
194,-61.5234375,-12.6953125,-71.2890625,-56.15234375
